label,offset,resolution,runtime_after_sources,central_B_offset,right_center_transition_radius,nearest_interface_gap,frequency,Q,decay,amplitude,harminv_error,harminv_monitor,Ey_frequency,Ey_Q,Hz_frequency,Hz_Q,A_eff_E_2D_over_aA2,C_moire_E,peak_x_aA,peak_y_aA,runtime_minutes
M19_global_offset_m0p300000_res52,-0.3,52,6000,-0.3,,-0.0208785714285714,0.285899316928429,7546.81652181979,-1.89417164245229E-05,0.0128763514131458,3.00436536906165E-10,Ey,0.285899316928429,7546.81652181979,0.285899358884937,7547.3079251874,1.06949929133711,0.885932858902938,-3.97115384615384,-0.663461538461539,330.431955711667
M19_global_offset_m0p200000_res52,-0.2,52,6000,-0.2,,0.0791214285714287,0.285429085485364,939.599819064378,-0.00015188864434307,0.009198855933268,1.51051177501708E-07,Ey,0.285429085485364,939.599819064378,0.285427006180524,961.170526247267,1.08970337843864,0.863486988750881,-2.99038461538461,-0.663461538461539,335.29044213
M19_global_offset_m0p100000_res52,-0.1,52,6000,-0.1,,0.179121428571429,0.285545484404583,704.963117018,-0.000202525123308892,0.0148375786703084,6.09014207083452E-06,Hz,0.28539253274753,1344.99879120142,0.285545484404583,704.963117018,1.09823392393792,0.915726732146405,-1.00961538461538,0.663461538461538,343.35467576
M19_global_offset_p0p000000_res52,0,52,6000,0,,0.279121428571429,0.285463627196411,259.021234735245,-0.000551042904818584,0.00325232843390959,7.06986172504354E-08,Ey,0.285463627196411,259.021234735245,0.285459846180815,359.962273358574,2.48455490222774,0.00704712374096538,0.0096153846153868,0.298076923076922,336.196156156667
M19_global_offset_p0p100000_res52,0.1,52,6000,0.1,,0.179121428571429,0.285399053254029,1231.35355175243,-0.000115888346140658,0.0323642394117816,1.51257043573051E-08,Hz,0.285396184524137,1341.8727919047,0.285399053254029,1231.35355175243,1.09824002733637,0.915721643306796,1.00961538461539,0.663461538461538,228.189548181667
M19_global_offset_p0p200000_res52,0.2,52,6000,0.2,,0.0791214285714287,0.285438412912547,1077.68815451387,-0.000132430894650273,0.006190544489513,1.70231733390354E-07,Ey,0.285438412912547,1077.68815451387,0.285425721681297,960.398042372968,1.08973912232173,0.863458666876015,2.99038461538462,-0.663461538461539,157.148111313334
M19_global_offset_p0p300000_res52,0.3,52,6000,0.3,,-0.0208785714285714,0.285899269523632,7577.50357103553,-1.88650039451292E-05,0.0128556769570056,1.83265731577348E-09,Ey,0.285899269523632,7577.50357103553,0.285899359717971,7552.91151086906,1.06950158600092,0.885930958195845,3.97115384615385,-0.663461538461539,112.017849048333
