label,offset_gap,resolution,runtime_after_sources,central_B_offset,right_center_transition_radius,nearest_interface_gap,frequency,Q,decay,amplitude,harminv_error,harminv_monitor,Ey_frequency,Ey_Q,Hz_frequency,Hz_Q,A_eff_E_2D_over_aA2,C_moire_E,peak_x_aA,peak_y_aA,runtime_minutes
M19_fixed_offset_gap_p0p020000_r_p0p298571_res52,0.02,52,6000,0.3,0.298571428571429,0.02,0.285851705413154,10298.9816798786,-1.38776684092773E-05,0.030169262845201,1.41634089156616E-10,Hz,0.285851834268269,10318.7419495555,0.285851705413154,10298.9816798786,1.05763866055595,0.8970580973988,3.97115384615385,-0.663461538461539,336.11959201
M19_fixed_offset_gap_p0p015000_r_p0p303571_res52,0.015,52,6000,0.3,0.303571428571429,0.015,0.285857710320721,9891.59255703463,-1.44495291669402E-05,0.0301556374912827,6.89798692832296E-10,Hz,0.285857712004452,9865.24415634688,0.285857710320721,9891.59255703463,1.05879423216918,0.895808260289335,3.97115384615385,-0.663461538461539,292.54161444
M19_fixed_offset_gap_p0p012500_r_p0p306071_res52,0.0125,52,6000,0.3,0.306071428571429,0.0125,0.285860561219829,9705.72520899728,-1.47263885523379E-05,0.0301666893061278,5.99781394679419E-10,Hz,0.285860567895676,9674.88633110285,0.285860561219829,9705.72520899728,1.05908394909673,0.895359534129759,3.97115384615385,-0.663461538461539,115.578260621667
M19_fixed_offset_gap_p0p007500_r_p0p311071_res52,0.0075,52,6000,0.3,0.311071428571429,0.00750000000000001,0.285866068472923,9389.81512590381,-1.52221350814619E-05,0.0301490326510536,2.75792287547893E-10,Hz,0.285866146985486,9434.01907530315,0.285866068472923,9389.81512590381,1.06061199555235,0.893998995331383,3.97115384615385,-0.663461538461539,134.780669106667
M19_fixed_offset_gap_p0p005000_r_p0p313571_res52,0.005,52,6000,0.3,0.313571428571429,0.005,0.285868992824391,9211.41395523034,-1.55171070485912E-05,0.0301295584802819,1.01737457784022E-10,Hz,0.285869043118268,9254.0499616952,0.285868992824391,9211.41395523034,1.06140080790257,0.89327412335204,3.97115384615385,-0.663461538461539,326.316500126667
M19_fixed_offset_gap_m0p005000_r_p0p323571_res52,-0.005,52,6000,0.3,0.323571428571429,-0.005,0.285880464801846,9115.04265301863,-1.56817952303916E-05,0.0127076133406194,8.28988672942239E-11,Ey,0.285880464801846,9115.04265301863,0.285880669746682,8532.66337602207,1.06397992073078,0.890721149232204,3.97115384615385,-0.663461538461539,346.247340776667
M19_fixed_offset_gap_m0p015000_r_p0p333571_res52,-0.015,52,6000,0.3,0.333571428571429,-0.015,0.28589245696089,7913.96392826084,-1.80625322248415E-05,0.012893538698795,2.32355752899824E-09,Ey,0.28589245696089,7913.96392826084,0.285892457046505,7870.74632619113,1.0670965844317,0.887868249344378,3.97115384615385,-0.663461538461539,338.960858463333
