candidate,mirror_periods,resolution,frequency,Q,decay,amplitude,harminv_error,runtime_minutes
M15,15,52,0.285884430235894,5828.50545070465,-2.4524677265364E-05,0.00682585876162526,4.86491338548678E-10,116.361721038333
M17,17,52,0.285890479945819,6599.78696734861,-2.16590687972367E-05,0.00662842681023245,1.44788717365248E-09,127.761188683333
M19,19,52,0.285899187319858,7472.15918671285,-1.91309620268964E-05,0.00620205385527808,1.77344212091096E-09,140.585927178333
M21,21,52,0.285908308064954,7173.76931634134,-1.9927341921469E-05,0.00566068644087518,1.82447467789081E-09,165.297926785
M23,23,52,0.28591628271681,7075.05977497776,-2.02059270034725E-05,0.00510233262733647,2.69724724356542E-09,169.940918058333
M27,27,52,0.285950962088357,10838.4771092842,-1.31914732671905E-05,0.0029383066885692,2.28575672923004E-08,192.703140221667
